x,y,z,stress
0,0,0,250.0
0,0,10,250.0
0,0,20,250.0
0,10,0,250.0
0,10,10,250.0
0,10,20,250.0
0,20,0,250.0
0,20,10,250.0
0,20,20,250.0
0,30,0,250.0
0,30,10,250.0
0,30,20,250.0
0,40,0,250.0
0,40,10,250.0
0,40,20,250.0
10,0,0,220.0
10,0,10,220.0
10,0,20,220.0
10,10,0,220.0
10,10,10,220.0
10,10,20,220.0
10,20,0,220.0
10,20,10,220.0
10,20,20,220.0
10,30,0,220.0
10,30,10,220.0
10,30,20,220.0
10,40,0,220.0
10,40,10,220.0
10,40,20,220.0
20,0,0,190.0
20,0,10,190.0
20,0,20,190.0
20,10,0,190.0
20,10,10,190.0
20,10,20,190.0
20,20,0,190.0
20,20,10,190.0
20,20,20,190.0
20,30,0,190.0
20,30,10,190.0
20,30,20,190.0
20,40,0,190.0
20,40,10,190.0
20,40,20,190.0
30,0,0,160.0
30,0,10,160.0
30,0,20,160.0
30,10,0,160.0
30,10,10,160.0
30,10,20,160.0
30,20,0,160.0
30,20,10,160.0
30,20,20,160.0
30,30,0,160.0
30,30,10,160.0
30,30,20,160.0
30,40,0,160.0
30,40,10,160.0
30,40,20,160.0
40,0,0,130.0
40,0,10,130.0
40,0,20,130.0
40,10,0,130.0
40,10,10,130.0
40,10,20,130.0
40,20,0,130.0
40,20,10,130.0
40,20,20,130.0
40,30,0,130.0
40,30,10,130.0
40,30,20,130.0
40,40,0,130.0
40,40,10,130.0
40,40,20,130.0
50,0,0,100.0
50,0,10,100.0
50,0,20,100.0
50,10,0,100.0
50,10,10,100.0
50,10,20,100.0
50,20,0,100.0
50,20,10,100.0
50,20,20,100.0
50,30,0,100.0
50,30,10,100.0
50,30,20,100.0
50,40,0,100.0
50,40,10,100.0
50,40,20,100.0
60,0,0,70.0
60,0,10,70.0
60,0,20,70.0
60,10,0,70.0
60,10,10,70.0
60,10,20,70.0
60,20,0,70.0
60,20,10,70.0
60,20,20,70.0
60,30,0,70.0
60,30,10,70.0
60,30,20,70.0
60,40,0,70.0
60,40,10,70.0
60,40,20,70.0
